Wall time,Step,Value
1733777037.5540082,1,0.028985507786273956
1733777038.0566194,2,0.05797101557254791
1733777038.4058616,3,0.08695652335882187
1733777038.8962762,4,0.11594203114509583
1733777039.3570235,5,0.14492753148078918
1733777039.9053192,6,0.17391304671764374
1733777040.3191803,7,0.2028985470533371
1733777040.8242671,8,0.23188406229019165
1733777041.308372,9,0.260869562625885
1733777041.6926763,10,0.28985506296157837
1733777042.2156677,11,0.3188405930995941
1733777042.5682137,12,0.3478260934352875
1733777043.0587976,13,0.37681159377098083
1733777043.4669933,14,0.4057970941066742
1733777043.872718,15,0.43478259444236755
1733777044.320229,16,0.4637681245803833
1733777044.771802,17,0.49275362491607666
1733777045.1616626,18,0.52173912525177
1733777045.5697184,19,0.5507246255874634
1733777046.097403,20,0.5797101259231567
1733777046.5785298,21,0.6086956262588501
1733777047.00175,22,0.6376811861991882
1733777047.3164475,23,0.6666666865348816
1733777047.6958253,24,0.695652186870575
1733777048.0479627,25,0.7246376872062683
1733777048.6026514,26,0.7536231875419617
1733777048.9647574,27,0.782608687877655
1733777049.391517,28,0.8115941882133484
1733777049.7363474,29,0.8405796885490417
1733777050.1204562,30,0.8695651888847351
1733777050.6217873,31,0.8985507488250732
1733777051.1822362,32,0.9275362491607666
1733777051.574995,33,0.95652174949646
1733777052.090216,34,0.9855072498321533
1733777076.959886,35,1.0144927501678467
1733777077.5232713,36,1.04347825050354
1733777077.9297767,37,1.0724637508392334
1733777078.410333,38,1.1014492511749268
1733777078.8847508,39,1.1304347515106201
1733777079.2448895,40,1.1594202518463135
1733777079.5781531,41,1.1884057521820068
1733777079.9577508,42,1.2173912525177002
1733777080.312635,43,1.2463767528533936
1733777080.789475,44,1.2753623723983765
1733777081.292262,45,1.3043478727340698
1733777081.879533,46,1.3333333730697632
1733777082.211515,47,1.3623188734054565
1733777082.7000446,48,1.39130437374115
1733777083.115087,49,1.4202898740768433
1733777083.4922755,50,1.4492753744125366
1733777084.0420225,51,1.47826087474823
1733777084.5183327,52,1.5072463750839233
1733777084.985957,53,1.5362318754196167
1733777085.397612,54,1.56521737575531
1733777085.9292023,55,1.5942028760910034
1733777086.2588894,56,1.6231883764266968
1733777086.7342863,57,1.6521738767623901
1733777087.0577734,58,1.6811593770980835
1733777087.6113164,59,1.7101448774337769
1733777088.1118646,60,1.7391303777694702
1733777088.646806,61,1.7681159973144531
1733777089.1245368,62,1.7971014976501465
1733777089.6570637,63,1.8260869979858398
1733777090.1584811,64,1.8550724983215332
1733777090.5437093,65,1.8840579986572266
1733777090.8449552,66,1.91304349899292
1733777091.2192562,67,1.9420289993286133
1733777091.699965,68,1.9710144996643066
1733777092.1042743,69,2.0
1733777119.7086592,70,2.0289855003356934
1733777120.0545256,71,2.0579710006713867
1733777120.540656,72,2.08695650100708
1733777120.9900293,73,2.1159420013427734
1733777121.5989308,74,2.144927501678467
1733777121.9929695,75,2.17391300201416
1733777122.4239473,76,2.2028985023498535
1733777122.8353198,77,2.231884002685547
1733777123.3725696,78,2.2608695030212402
1733777123.8498306,79,2.2898550033569336
1733777124.3141572,80,2.318840503692627
1733777124.7147987,81,2.3478260040283203
1733777125.0546997,82,2.3768115043640137
1733777125.483427,83,2.405797004699707
1733777125.9060807,84,2.4347825050354004
1733777126.3078556,85,2.4637680053710938
1733777126.8109388,86,2.492753505706787
1733777127.3102298,87,2.5217392444610596
1733777127.7885103,88,2.550724744796753
1733777128.2924743,89,2.5797102451324463
1733777128.7774334,90,2.6086957454681396
1733777129.1499953,91,2.637681245803833
1733777129.741081,92,2.6666667461395264
1733777130.192346,93,2.6956522464752197
1733777130.6963148,94,2.724637746810913
1733777131.225525,95,2.7536232471466064
1733777131.6374774,96,2.7826087474823
1733777132.1021125,97,2.811594247817993
1733777132.5567575,98,2.8405797481536865
1733777132.976089,99,2.86956524848938
1733777133.4188209,100,2.8985507488250732
1733777133.7723544,101,2.9275362491607666
1733777188.7326121,102,2.95652174949646
